name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Brian Cameron,22,0,4.7,0.5,1.2,.385,0.4,0.8,.500,0.0,0.4,.125,0.2,0.3,.571,0.2,0.4
Cam Cameron,30,0,3.0,0.3,0.7,.400,,,,,,,0.6,0.8,.680,0.4,0.1
Chris Cameron,113,87,22.0,2.6,6.0,.434,2.0,4.0,.497,0.6,2.0,.306,1.2,1.8,.688,1.4,2.2
Chris Cameron,20,2,,1.2,2.6,.471,0.5,0.8,.600,0.8,1.8,.417,1.0,1.3,.760,0.6,1.5
Chris Cameron,118,39,25.4,3.0,6.4,.471,2.4,4.1,.579,0.7,2.4,.284,1.6,2.9,.570,,
Dallas Cameron,135,50,19.8,1.4,3.7,.382,0.8,1.8,.451,0.6,1.9,.315,1.2,1.6,.733,0.3,0.9
Dyrika Cameron,108,28,,1.8,3.8,.466,1.8,3.7,.470,0.0,0.0,.000,1.2,1.7,.690,,
Flynn Cameron,72,32,17.3,2.0,4.5,.438,1.0,1.9,.530,1.0,2.6,.374,0.6,0.8,.689,0.7,2.2
Joey Cameron,26,12,11.4,0.8,1.7,.488,0.8,1.7,.488,0.0,0.0,,0.7,1.2,.531,1.1,1.7
Jordan Cameron,3,0,1.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.3
Josh Cameron,67,34,24.9,4.2,10.5,.405,2.3,5.3,.433,1.9,5.2,.376,2.9,3.8,.754,0.4,1.9
Kelth Cameron,7,0,2.4,0.3,0.6,.500,0.3,0.6,.500,0.0,0.0,,0.3,0.9,.333,0.1,0.7
Ken Cameron,17,,,0.7,,,0.6,0.9,.625,,,,,,1.1,2.0,
M Cameron,4,0,,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.3,2.0,.625,,
Martez Cameron,122,94,27.8,2.2,6.2,.348,1.9,5.3,.349,0.3,0.9,.343,1.4,2.1,.642,0.8,1.8
Paul Cameron,48,11,5.0,0.8,1.7,.446,,,,,,,0.6,1.0,.625,1.9,0.1
Reggie Cameron,104,18,11.8,1.1,3.0,.374,0.4,0.9,.494,0.7,2.1,.326,0.5,0.7,.746,0.2,1.0
Stan Cameron,9,,2.6,0.1,0.3,.333,0.2,0.8,.286,0.3,0.3,0.0,0.2,0.2,0.2,0.4,
Stuart Cameron,3,0,1.0,0.3,0.3,1.000,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,0.3,0.3
Terrance Cameron,102,37,20.9,3.6,7.0,.514,3.6,6.8,.524,0.0,0.2,.190,1.8,2.7,.664,,
Terry Cameron,49,30,25.2,3.0,8.6,.352,1.1,3.0,.374,1.9,5.6,.341,1.6,2.1,.775,,
Tim Cameron,28,0,9.1,1.0,2.6,.392,0.9,1.8,.490,0.2,0.9,.200,1.1,1.6,.696,0.8,1.3
Tim Cameron,24,,,0.9,2.0,.438,0.3,1.2,.286,0.4,,,,,0.9,1.0,
Tobias Cameron,89,0,7.7,0.9,1.8,.484,0.6,0.8,.704,0.3,1.0,.302,0.4,0.6,.796,0.6,0.9
Tom Cameron,68,,,4.0,11.1,.358,2.3,3.5,.656,2.0,,,,,2.7,10.2,
