name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Jim Bailey,19,,,1.3,3.9,.338,1.2,1.9,.622,3.7,,,,,2.2,3.8,
Jim Bailey,9,,,0.1,0.6,.200,0.4,0.6,.800,1.1,,,,,0.2,0.7,
Jim Bailey,2,,,1.0,1.0,1.000,0.0,0.5,.000,1.0,,,,,0.5,2.0,
John Bailey,5,0,2.8,0.4,0.4,1.000,0.4,0.4,1.000,0.0,0.0,,0.0,0.0,,0.0,0.6
John Bailey,56,2,5.3,0.4,1.3,.347,0.4,1.2,.348,0.0,0.1,.333,0.3,0.5,.577,0.4,0.5
John Bailey,91,,,2.4,5.7,.410,,,,,,,0.5,0.6,.768,0.6,0.4
John Bailey,88,52,19.9,3.6,7.8,.458,,,,,,,1.4,2.0,.710,1.5,1.8
John Bailey,5,,,2.6,5.2,.500,2.2,2.4,.917,3.0,,,,,2.2,7.4,
John Bailey,67,,,3.4,8.0,.422,2.0,3.0,.685,2.8,,,,,2.4,8.8,
John Bailey,24,,,1.8,4.8,.377,0.5,0.6,.800,2.9,,,,,,4.1,
John Nelson Bailey,76,,,5.9,12.9,.457,2.4,3.8,.632,9.1,,1.0,3.3,,1.1,14.2,
Johnnie Bailey,42,,12.2,2.0,5.0,.402,,,,,,,1.0,1.6,.627,1.8,0.6
Johnny Bailey,4,,,2.8,0.8,3.667,1.0,3.3,.308,,,,,,3.3,6.5,
Jonathan Bailey,4,0,2.5,0.5,0.5,1.000,0.5,0.5,1.000,0.0,0.0,,0.0,0.0,,0.0,0.0
Joseph Bailey,29,0,2.0,0.2,0.8,.304,0.0,0.2,.167,0.2,0.6,.353,0.3,0.5,.667,0.2,0.1
Joseph Bailey,69,4,10.4,1.3,3.8,.333,0.2,0.5,.371,1.1,3.3,.327,0.3,0.4,.769,0.1,0.7
Joshua Bailey,38,38,,0.2,0.6,.304,0.2,0.6,.304,0.0,0.0,,0.1,0.2,.833,,
Justin Bailey,110,25,30.8,5.2,11.3,.465,4.0,7.9,.507,1.2,3.3,.362,4.6,5.5,.831,,
Kenny Bailey,17,,,1.1,3.1,.340,0.8,1.1,.684,2.0,,,,,1.4,2.9,
Kevin Bailey,108,97,25.5,4.2,9.9,.428,3.3,7.2,.453,1.0,2.7,.360,3.2,4.2,.763,0.7,1.8
Kevin Bailey,12,,,1.3,2.4,.517,,,,,,,1.2,1.6,.737,1.6,
Kurt Bailey,77,24,16.1,1.4,3.1,.442,1.4,2.9,.469,0.0,0.2,.063,0.8,1.6,.500,,
Kyle Bailey,14,0,1.4,0.0,0.1,.000,0.0,0.0,,0.0,0.1,.000,0.0,0.0,,0.1,0.0
Kyle Bailey,127,96,30.4,4.0,10.8,.366,2.2,5.5,.400,1.8,5.3,.331,2.7,3.5,.776,0.8,3.2
