name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Gene Zech,17,,,0.7,1.6,.444,0.1,0.5,.222,1.8,,,,,1.2,1.5,
Patrick Zeck,46,23,16.0,1.5,2.5,.588,1.4,2.2,.618,0.1,0.3,.333,0.7,1.0,.756,1.2,2.3
Mike Zedalis,58,,,6.8,11.4,.595,5.2,7.1,.731,,,,,,5.0,18.8,
Marcus Zegarowski,92,75,32.2,5.0,10.5,.471,2.6,5.0,.523,2.3,5.5,.423,1.8,2.3,.772,0.3,3.2
Tyler Zegarzewski,6,0,2.0,0.5,0.7,.750,0.2,0.2,1.000,0.3,0.5,.667,0.0,0.0,,0.0,0.2
Joe Zeglinski,135,135,36.1,5.1,13.5,.379,2.2,5.0,.437,2.9,8.4,.345,1.8,2.6,.690,1.3,3.2
Sammy Zeglinski,121,82,26.6,2.7,7.3,.369,1.0,2.6,.398,1.7,4.7,.352,0.8,1.1,.674,0.3,2.7
Zack Zeglinski,7,1,5.9,0.4,1.6,.273,0.4,1.1,.375,0.0,0.4,.000,0.4,0.9,.500,0.4,0.7
Andrew Zehnder,16,0,4.1,0.3,0.5,.625,0.3,0.4,.667,0.1,0.1,.500,0.1,0.3,.250,0.1,0.1
Todd Zehner,4,0,1.0,0.3,0.5,.500,0.3,0.5,.500,0.0,0.0,,0.0,0.0,,,
John Zeides,60,50,27.4,4.2,9.2,.454,1.4,2.1,.667,2.0,2.0,,,,1.6,9.7,
_ Zeiff,,,,,,,,,,,,,,,,,
Dick Zeiger,36,,,1.0,2.9,.356,1.1,1.6,.655,3.4,,,,,1.6,3.1,
Bo Zeigler,124,53,21.4,2.5,4.4,.561,2.4,4.2,.577,0.0,0.1,.059,0.7,1.5,.455,1.2,2.2
Dave Zeigler,43,28,35.9,7.3,15.4,.476,,,,,,,1.8,2.1,.865,3.5,1.7
Davin Zeigler,30,8,10.7,0.6,2.3,.279,0.5,1.8,.283,0.1,0.5,.267,0.9,1.2,.703,0.3,1.1
Demitrius Zeigler,17,0,3.9,0.4,1.6,.222,0.2,0.9,.267,0.1,0.7,.167,0.1,0.7,.167,,
Derrick Zeigler,104,60,27.3,2.5,6.9,.357,2.3,6.0,.378,0.2,0.9,.224,2.2,3.9,.568,,
Ernie Zeigler,28,22,,2.4,7.0,.349,2.4,7.0,.349,0.0,0.0,,0.8,1.1,.719,,
Gordon Zeigler,17,,,0.9,3.3,.268,0.1,0.7,.167,2.2,,,,,0.9,1.9,
Kenny Zeigler,115,74,22.6,2.7,6.0,.455,2.7,5.8,.464,0.1,0.2,.231,2.0,2.9,.693,,
Levelle Zeigler,7,4,31.0,3.9,10.0,.386,2.9,6.3,.455,1.0,3.7,.269,2.1,3.1,.682,0.1,1.7
Marcus Zeigler,52,25,26.0,1.6,4.2,.375,0.7,1.8,.398,0.8,2.4,.358,1.1,1.5,.724,,
Mitchell Zeigler,10,,,1.4,2.4,.583,0.5,1.0,.500,1.5,0.1,,,0.7,1.1,3.3,
Omar Zeigler,8,,,0.9,1.9,.467,0.8,1.5,.500,0.1,0.4,.333,0.1,0.4,.333,,
Trey Zeigler,127,89,27.3,4.5,10.3,.436,4.2,9.3,.453,0.3,1.0,.285,2.4,4.3,.547,1.6,3.0
Zakai Zeigler,15,1,18.8,2.5,6.3,.389,1.4,2.9,.488,1.1,3.5,.308,0.9,1.2,.778,0.2,1.5
Nic Zeil,26,0,2.8,0.1,0.5,.214,0.1,0.3,.222,0.0,0.2,.200,0.3,0.5,.750,0.2,0.5
Don Zeiler,3,,,0.0,1.0,.000,0.7,0.7,1.000,0.7,,,,,1.0,0.7,
Nick Zeisloft,128,46,20.5,2.0,4.8,.423,0.3,0.6,.531,1.7,4.2,.406,0.5,0.6,.838,0.5,1.7
Dick Zeitler,67,,,1.4,3.5,.403,1.0,1.6,.623,1.0,,,,,1.4,3.8,
