name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Andre Adams,25,,26.0,2.2,5.3,.417,1.1,1.8,.614,4.6,0.4,0.5,0.2,,,5.5,
Anthony Adams,28,28,,5.3,15.8,.333,3.1,7.9,.396,2.1,7.8,.269,4.1,5.6,.739,,
Antonio Adams,7,0,3.4,0.1,0.6,.250,0.1,0.1,1.000,0.0,0.4,.000,0.0,0.0,,0.1,0.1
Austin Adams,18,0,1.9,0.3,0.9,.313,0.2,0.3,.500,0.1,0.6,.200,0.2,0.3,.500,0.1,0.4
Bakari Adams,64,,,0.9,2.8,.330,0.3,0.8,.333,0.6,2.0,.328,0.3,0.4,.692,,
Barry Adams,1,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,
Ben Adams,55,53,,2.3,4.9,.461,1.5,3.1,.468,0.8,1.7,.448,1.6,2.3,.718,0.4,2.7
_ Adams,68,,,4.4,9.4,.463,3.5,5.7,.614,,,,,,3.0,12.2,
Billy Adams,40,,12.9,0.5,1.6,.323,0.5,1.5,.345,0.0,0.2,.143,0.5,0.8,.667,,
Blake Adams,121,1,12.1,1.3,3.7,.346,0.6,1.6,.390,0.7,2.1,.312,0.6,0.9,.615,0.6,1.0
Bob Adams,37,,,0.2,,,0.2,0.4,.500,,,,,,0.7,0.7,
Bob Adams,68,,,6.3,18.0,.351,2.7,4.2,.653,5.5,1.6,,,,3.8,15.3,
Bob Adams,71,,,1.9,4.1,.461,1.3,1.9,.657,1.6,,,,,1.5,5.1,
Bob Adams,70,,,2.3,6.2,.369,2.2,2.9,.760,6.1,,,,,2.2,6.8,
Bob Adams,13,,,0.6,1.9,.320,1.0,1.5,.684,1.2,,,,,0.4,2.2,
Brandon Adams,106,30,15.8,1.4,3.2,.434,1.4,3.2,.434,0.0,0.0,.500,1.5,2.2,.693,1.6,1.8
Brandon Adams,41,2,4.9,0.7,1.9,.354,0.6,1.5,.413,0.0,0.4,.125,0.4,0.6,.625,,
Brandon Adams,11,,2.8,0.1,0.9,.100,,,,,,,0.0,0.2,.000,0.7,0.0
Brandon Adams,59,22,19.2,2.3,4.6,.500,2.3,4.5,.510,0.0,0.1,.143,1.7,2.6,.660,1.6,2.4
Brendan Adams,90,20,20.0,1.9,5.2,.359,1.1,2.3,.488,0.8,2.9,.260,1.2,1.6,.757,0.6,1.6
Brian Adams,102,58,25.6,3.4,6.7,.510,2.8,5.0,.567,0.6,1.7,.341,1.4,2.4,.556,,
Bud Adams,32,0,4.0,1.3,3.3,.390,,,.364,,,.200,0.3,0.5,.471,,
Bunk Adams,73,,,6.4,15.9,.402,3.6,6.8,.534,11.7,,,,,2.3,16.4,
Burnett Adams,123,11,15.3,1.7,3.1,.559,,,,,,,1.5,2.4,.609,2.8,
Carl Adams,4,,,1.3,2.3,.556,1.5,1.5,1.000,0.5,0.5,,,,0.5,1.5,
Carroll Adams,41,,,1.2,3.1,.380,0.3,0.5,.579,1.2,,,,,1.3,2.7,
Chad Adams,128,15,11.3,1.1,2.3,.468,0.8,1.6,.486,0.3,0.7,.425,0.6,0.9,.735,0.5,1.4
Changa Adams,92,27,,1.3,2.8,.461,1.3,2.7,.464,0.0,0.0,.000,0.5,0.8,.595,,
Charles Adams,10,0,,0.2,0.6,.333,0.0,0.1,.000,0.1,,,,,0.3,0.4,
Charles Adams,2,,,1.5,,,0.5,,,,,,,,,3.5,
Charles Adams,24,,,6.4,13.2,.486,3.0,3.4,.866,8.2,,,,,3.0,15.8,
Chase Adams,118,91,27.2,2.4,5.8,.418,1.3,2.9,.459,1.1,2.9,.377,1.9,2.5,.737,,
Chase Adams,19,0,5.7,0.5,1.6,.333,0.2,0.3,.600,0.4,1.3,.280,0.1,0.1,1.000,0.1,0.6
Chase Adams,50,32,24.4,2.2,6.1,.359,2.0,4.7,.421,0.2,1.5,.164,1.5,2.1,.733,0.4,1.8
Chip Adams,98,0,14.9,3.2,7.0,.461,,,.516,,,.373,2.1,3.0,.678,,
Chris Adams,96,60,14.8,1.0,2.4,.420,1.0,2.4,.422,0.0,0.0,.000,0.6,1.3,.496,1.4,2.5
Chris Adams,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
Chris Adams,27,14,20.7,1.6,3.5,.463,1.6,3.3,.478,0.0,0.2,.200,0.8,1.0,.750,1.5,2.2
Chris Adams,107,18,17.3,1.3,3.7,.366,0.2,0.6,.318,1.1,3.0,.375,0.1,0.1,.688,0.1,1.2
Christian Adams,52,12,10.3,0.5,1.8,.304,0.5,1.4,.338,0.1,0.4,.190,0.4,0.6,.636,0.2,1.0
Clarence Adams,6,0,,0.8,2.3,.357,0.7,0.8,.800,2.0,,,,,1.5,2.3,
Clayton Adams,109,77,36.0,3.4,7.7,.448,3.4,7.6,.450,0.0,0.1,.222,2.0,3.4,.596,,
Dana Adams,53,13,20.8,1.9,4.0,.481,1.9,3.9,.493,0.0,0.1,.143,1.8,2.6,.698,,
Danny Adams,103,4,10.2,1.0,2.7,.374,0.2,0.5,.375,0.8,2.2,.373,0.2,0.4,.537,0.4,0.7
Darian Adams,126,90,27.7,3.2,8.4,.382,1.8,4.0,.436,1.5,4.4,.332,1.9,2.5,.783,0.7,2.8
Darryl Adams,54,,28.7,4.0,8.0,.495,,,,,,,2.3,3.7,.626,5.5,1.6
David Adams,115,62,24.0,2.4,5.9,.411,1.2,2.9,.427,1.2,3.1,.395,1.5,2.0,.774,,
DeAndre Adams,65,3,13.4,0.5,1.5,.323,0.4,1.0,.358,0.1,0.4,.241,0.6,1.0,.641,0.1,1.0
Demek Adams,101,27,11.4,0.4,1.2,.296,0.2,0.7,.271,0.2,0.5,.327,0.5,0.7,.708,0.2,1.0
Derek Adams,16,0,8.3,0.4,1.6,.231,0.1,0.3,.200,0.3,1.3,.238,0.4,0.5,.875,0.1,0.6
Dick Adams,70,,,0.8,3.4,.235,0.5,0.8,.576,,,,,,2.1,2.1,
Dick Adams,36,,,0.8,2.8,.287,1.4,2.1,.689,1.5,,,,,1.9,3.0,
Dick Adams,9,,,0.9,1.7,.533,0.8,1.4,.538,0.4,,,,,1.7,2.6,
Dionte Adams,89,21,11.5,1.0,2.1,.450,1.0,2.1,.457,0.0,0.0,.000,0.6,1.0,.635,1.2,1.8
Don Adams,71,,,5.8,13.8,.421,3.4,4.7,.719,10.9,,,,,3.7,15.0,
Drew Adams,6,0,1.8,0.2,0.5,.333,0.2,0.5,.333,0.0,0.0,,0.0,0.0,,0.2,0.2
Dustin Adams,23,0,2.8,0.3,0.7,.400,0.3,0.7,.400,0.0,0.0,,0.3,0.3,.750,0.4,0.3
Dwight Adams,21,,,4.1,10.8,.385,0.9,1.5,.581,3.0,1.1,,,,2.6,9.1,
Eddie Adams,98,47,21.7,3.7,8.4,.444,,,,,,,1.1,1.5,.709,1.7,1.2
Eddie Adams,54,,,5.8,11.5,.502,1.7,2.2,.752,5.1,0.7,,,,2.9,13.2,
Eddie Adams,1,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,1.0,0.0,
Elmo Adams,12,,,0.3,,,0.2,0.1,2.000,,,,,,0.1,0.7,
Eric Adams,12,4,16.7,1.7,5.9,.282,0.4,1.8,.227,1.3,4.1,.306,0.7,0.8,.800,0.0,1.2
Eric Adams,92,34,13.2,1.8,2.9,.625,1.8,2.9,.628,0.0,0.0,.000,1.2,1.7,.694,1.4,2.3
Eric Adams,56,48,30.0,5.8,11.6,.498,2.9,5.5,.523,2.9,6.1,.475,2.5,3.0,.831,,
Erik Adams,49,21,20.9,2.5,6.1,.403,2.0,4.8,.422,0.4,1.3,.333,0.8,1.3,.661,1.5,2.9
Fred Adams,74,,,2.0,6.5,.303,1.6,3.6,.464,7.1,0.4,,,,3.3,5.6,
Garrius Adams,120,70,24.8,2.2,5.9,.369,1.3,2.9,.448,0.9,3.0,.292,1.5,2.2,.663,0.8,2.5
Gary Adams,23,,,1.0,2.2,.431,0.6,0.7,.875,0.4,,,,,0.7,2.5,
Gary Adams,32,,,1.0,2.8,.360,1.0,1.4,.733,0.9,1.5,,,,0.5,3.0,
George Adams,35,1,16.6,2.4,5.7,.422,2.4,5.5,.438,0.0,0.2,.000,1.6,3.0,.543,,
Girod Adams,32,15,19.7,1.7,4.4,.373,0.8,1.9,.417,0.9,2.6,.341,1.1,1.4,.773,0.2,1.4
Greg Adams,4,,,0.0,0.8,.000,0.0,0.8,.000,0.0,0.0,,0.5,0.5,1.000,,
Hassan Adams,130,100,27.8,5.8,11.6,.499,5.2,9.7,.535,0.6,1.9,.311,1.9,2.7,.704,2.5,3.0
Haywood Adams,,,,,,,,,,,,,,,,,
Ian Adams,95,3,9.7,0.9,2.7,.315,0.4,1.2,.351,0.5,1.6,.289,0.4,0.6,.639,,
Isaiah Adams,35,14,21.6,3.1,6.9,.444,2.3,4.4,.526,0.8,2.5,.303,1.3,2.3,.557,0.9,2.5
Jack Adams,105,,,3.5,8.3,.417,0.9,1.8,.529,5.9,,,,,2.5,7.9,
Jack Adams,74,,,5.3,12.4,.428,1.8,2.6,.714,3.5,3.4,,,,3.2,12.4,
Jack Adams,71,,,6.0,14.1,.426,8.6,12.1,.710,12.3,,,,,4.0,20.6,
Jake Adams,16,,,0.4,0.8,.462,0.3,0.6,.444,1.3,,,,,1.1,1.0,
Jalen Adams,14,0,4.4,0.6,1.6,.348,0.4,0.9,.417,0.2,0.8,.273,0.4,0.5,.714,0.0,0.1
