name,draft
Zach Randolph,1
Brendan Haywood,1
Joseph Forte,1
Jeryl Sasser,1
Brandon Armstrong,1
Raul Lopez,1
Gerald Wallace,1
Samuel Dalembert,1
Jamaal Tinsley,1
Tony Parker,1
Kenyon Martin,1
Stromile Swift,1
Darius Miles,1
Marcus Fizer,1
Mike Miller,1
DerMarr Johnson,1
Chris Mihm,1
Jamal Crawford,1
Joel Przybilla,1
Keyon Dooling,1
Jerome Moiso,1
Etan Thomas,1
Courtney Alexander,1
Mateen Cleaves,1
Jason Collier,1
Hedo Turkoglu,1
Desmond Mason,1
Quentin Richardson,1
Jamaal Magloire,1
Speedy Claxton,1
Morris Peterson,1
Donnell Harvey,1
DeShawn Stevenson,1
Dalibor Bagaric,1
Jake Tsakalidis,1
Mamadou N'diaye,1
Primoz Brezec,1
Erick Barkley,1
Mark Madsen,1
Elton Brand,1
Steve Francis,1
Baron Davis,1
Lamar Odom,1
Jonathan Bender,1
Wally Szczerbiak,1
Richard Hamilton,1
Andre Miller,1
Shawn Marion,1
Jason Terry,1
Trajan Langdon,1
Aleksandar Radojevic,1
Corey Maggette,1
William Avery,1
Frederic Weis,1
Metta World Peace,1
Cal Bowdler,1
James Posey,1
Quincy Lewis,1
Dion Glover,1
Jeff Foster,1
Kenny Thomas,1
Devean George,1
Andrei Kirilenko,1
Tim James,1
Vonteego Cummings,1
Jumaine Jones,1
Scott Padgett,1
Leon Smith,1
Michael Olowokandi,1
Mike Bibby,1
Raef LaFrentz,1
Antawn Jamison,1
Vince Carter,1
Robert Traylor,1
Jason Williams,1
Larry Hughes,1
Dirk Nowitzki,1
Paul Pierce,1
Bonzi Wells,1
Michael Doleac,1
Keon Clark,1
Michael Dickerson,1
Matt Harpring,1
Bryce Drew,1
Rasho Nesterovic,1
Mirsad Turkcan,1
Pat Garrity,1
Roshown McLeod,1
Ricky Davis,1
Brian Skinner,1
Tyronn Lue,1
Felipe Lopez,1
Al Harrington,1
Sam Jacobson,1
Vladimir Stepania,1
Corey Benjamin,1
Nazr Mohammed,1
Tim Duncan,1
Keith Van Horn,1
Chauncey Billups,1
Antonio Daniels,1
Tony Battie,1
Ron Mercer,1
Tim Thomas,1
Adonal Foyle,1
Tracy McGrady,1
Danny Fortson,1
Tariq Abdul-Wahad,1
Austin Croshere,1
Derek Anderson,1
Maurice Taylor,1
Kelvin Cato,1
Brevin Knight,1
Johnny Taylor,1
Chris Anstey,1
Scot Pollard,1
Paul Grant,1
Anthony Parker,1
Ed Gray,1
Bobby Jackson,1
Rodrick Rhodes,1
John Thomas,1
Charles Smith,1
Jacque Vaughn,1
Keith Booth,1
Allen Iverson,1
Marcus Camby,1
Shareef Abdur-Rahim,1
Stephon Marbury,1
Ray Allen,1
Antoine Walker,1
Lorenzen Wright,1
Kerry Kittles,1
Samaki Walker,1
Erick Dampier,1
Todd Fuller,1
Vitaly Potapenko,1
Kobe Bryant,1
Peja Stojakovic,1
Steve Nash,1
Tony Delk,1
Jermaine O'Neal,1
John Wallace,1
Walter McCarty,1
Zydrunas Ilgauskas,1
Dontae' Jones,1
Roy Rogers,1
Efthimios Rentzias,1
Derek Fisher,1
Martin Muursepp,1
Jerome Williams,1
Brian Evans,1
Priest Lauderdale,1
Travis Knight,1
Joe Smith,1
Antonio McDyess,1
Jerry Stackhouse,1
Rasheed Wallace,1
Kevin Garnett,1
Bryant Reeves,1
Damon Stoudamire,1
Shawn Respert,1
Ed O'Bannon,1
Kurt Thomas,1
Gary Trent,1
Cherokee Parks,1
Corliss Williamson,1
Eric Williams,1
Brent Barry,1
Alan Henderson,1
Bob Sura,1
Theo Ratliff,1
Randolph Childress,1
Jason Caffey,1
Michael Finley,1
