name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Eugene Mack,15,0,6.8,0.9,2.1,.419,0.9,1.7,.500,0.0,0.3,.000,0.5,0.6,.778,,
Gene Mack,77,,,4.9,11.0,.449,2.1,2.7,.763,2.2,,,,,2.6,11.9,
Geoff Mack,24,,,3.8,10.5,.364,,,,,,,1.5,2.5,.593,2.4,
Giovanni Mack,24,1,9.3,0.5,1.4,.382,0.3,0.7,.353,0.3,0.7,.412,0.4,0.6,.643,0.1,0.8
Guy Mack,31,,,1.1,2.1,.538,0.5,1.5,.326,3.5,,,,,1.4,2.7,
Harold Mack,23,,,1.1,5.1,.214,0.8,1.1,.692,,,,,,2.0,3.0,
Holland Mack,41,1,1.7,0.1,0.5,.316,0.1,0.4,.375,0.0,0.1,.000,0.1,0.2,.500,0.2,0.4
Isaac Mack,51,28,23.2,2.5,6.8,.372,1.9,4.5,.417,0.7,2.3,.286,1.1,1.6,.675,0.5,1.6
Jerry Mack,102,37,15.3,0.8,1.9,.444,,,.434,,,.000,0.6,0.9,.611,,
Jimmy Mack,18,7,,1.3,2.6,.500,1.1,1.8,.576,0.2,0.7,.308,1.1,1.4,.731,0.1,0.5
Joe Mack,10,,,1.3,,,0.6,,,,,,,,,3.2,
Joe Mack,,,,,,,,,,,,,,,,,
John Mack,72,,,1.0,3.0,.324,0.6,1.2,.506,3.7,,,,,1.8,2.6,
John Mack,9,,,0.1,0.3,.333,0.2,0.4,.500,0.4,,,,,0.4,0.4,
Johnny Mack,90,54,30.9,4.1,9.9,.419,2.8,6.3,.441,1.4,3.6,.380,2.3,3.1,.745,,
Joshua Mack,52,26,19.3,2.6,7.0,.374,1.0,2.6,.403,1.6,4.5,.358,1.1,1.3,.826,0.4,1.6
Kajon Mack,129,70,22.1,2.6,6.0,.424,1.9,3.8,.487,0.7,2.2,.317,1.7,2.3,.751,0.8,2.6
Ken Mack,3,0,0.7,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,0.0,0.0,,,
Ken Mack,75,4,7.8,0.6,1.4,.389,0.6,1.4,.389,0.0,0.0,,0.3,0.5,.618,,
Kendell Mack,8,0,3.1,0.5,0.6,.800,0.5,0.6,.800,0.0,0.0,,0.4,0.8,.500,,
Kendell Mack,30,1,5.2,0.7,1.8,.382,,,.167,,,.182,0.6,0.9,.704,,
Lamont Mack,65,63,26.6,4.7,12.3,.385,2.8,6.5,.425,2.0,5.8,.340,2.5,3.5,.716,1.3,4.1
Larry Mack,51,,,2.0,4.4,.444,1.2,2.1,.583,4.7,,,,,2.0,5.2,
Lewis Mack,56,,,4.7,10.3,.455,3.1,4.0,.789,3.6,4.9,,,4.5,2.9,12.5,
Marc Mack,63,30,13.5,1.0,2.9,.342,1.0,2.8,.350,0.0,0.1,.143,0.4,0.9,.519,1.2,1.1
Mike Mack,23,,,3.4,8.7,.392,0.8,2.2,.360,4.6,,,,,2.2,7.6,
Monty Mack,123,119,35.7,6.2,15.3,.406,3.5,8.0,.445,2.7,7.4,.364,2.6,3.3,.792,,
Myles Mack,128,107,30.7,4.2,10.2,.413,2.4,5.2,.456,1.9,5.1,.369,2.6,3.1,.858,0.5,2.4
Nehemiah Mack,106,43,19.2,1.0,2.7,.373,0.4,1.0,.394,0.6,1.7,.360,0.8,0.9,.816,0.3,1.2
Ollie Mack,52,52,37.9,9.8,18.9,.515,3.5,4.8,.737,4.3,,,,,,23.0,
Phillip Mack,,,,,,,,,,,,,,,,,
Ray Mack,22,,,0.2,0.7,.250,0.6,0.8,.722,0.9,,,,,0.7,1.0,
Renardo Mack,29,6,19.4,1.8,4.4,.395,1.8,4.4,.402,0.0,0.1,.000,1.2,1.8,.642,,
Rodney Mack,118,,,5.0,8.3,.602,5.9,9.6,.614,0.0,0.0,,2.3,3.3,.703,,
Sam Mack,60,39,26.4,5.1,10.7,.474,4.2,8.4,.501,0.9,2.4,.376,3.7,5.0,.751,,
Sam Mack,17,0,7.9,1.0,2.8,.362,0.6,1.1,.579,0.4,1.6,.214,0.1,0.2,.667,0.3,0.5
Shelvin Mack,108,107,31.2,4.8,11.4,.419,2.8,5.8,.480,2.0,5.6,.357,2.6,3.4,.755,0.8,3.4
Sherman Mack,4,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.3,0.5,.500,,
Tavares Mack,104,26,18.8,2.5,4.4,.573,2.5,4.4,.573,0.0,0.0,,1.1,1.9,.571,,
Terrence Mack,113,33,13.8,2.0,4.4,.447,1.9,4.2,.454,0.1,0.2,.304,1.0,1.9,.528,1.5,1.7
Tevin Mack,113,63,22.0,3.5,8.4,.412,2.0,3.9,.521,1.4,4.5,.319,1.1,1.9,.601,0.9,2.8
Tom Mack,33,,,0.3,1.1,.278,0.5,0.7,.625,0.3,,,,,0.4,1.1,
Toney Mack,73,11,24.0,4.8,9.3,.523,,,.550,,,.383,1.6,2.5,.654,,
Tony Mack,45,,,2.9,0.8,3.771,4.6,1.7,2.697,1.8,,,,,0.5,10.4,
Troy Mack,114,84,21.1,2.6,5.2,.510,2.6,5.1,.514,0.0,0.0,.000,1.4,2.3,.610,,
Ty Mack,51,,33.0,5.5,12.2,.455,4.8,10.0,.484,0.7,2.2,.321,5.3,6.7,.784,,
George Mackaronis,,,,,,,,,.639,,,,,,,,
Ali Mackay,63,1,3.1,0.2,0.4,.625,0.2,0.3,.765,0.0,0.1,.286,0.1,0.2,.545,0.1,0.4
Hugh Mackay,7,,,1.4,3.4,.417,1.9,2.4,.765,2.0,,,,,1.6,4.7,
